Original Text,Translation,Paraphrase 1,Paraphrase 2
"9 hurt in blast at Indonesian Embassy PARIS -- An explosion struck the Indonesian Embassy in Paris today, slightly injuring nine people, a French radio station reported.","9 heridos en explosión en la Embajada de Indonesia PARÍS -- Una explosión golpeó la Embajada de Indonesia en París hoy, hiriendo levemente a nueve personas, según informó una estación de radio francesa.","1. The Indonesian Embassy in Paris was struck by an explosion today, leading to minor injuries for nine individuals, as reported by a French radio station.",   
Indonesia Pursues Two Terror Suspects (AP) AP - Indonesian police pursued a manhunt Sunday for two of Southeast Asia's most wanted terrorism suspects while warning of the danger of more suicide attacks on Western interests in the wake of a lethal bombing outside the Australian Embassy.,"Indonesia Persigue a Dos Sospechosos de Terrorismo (AP) AP - La policía indonesia llevó a cabo una cacería humana el domingo para dos de los sospechosos de terrorismo más buscados del sudeste de Asia, mientras advertía sobre el peligro de más ataques suicidas contra intereses occidentales después de un letal atentado fuera de la Embajada Australiana.","1) (AP) Indonesian law enforcement initiated a manhunt on Sunday for two highly sought-after terror suspects in Southeast Asia, amid warnings about potential additional suicide attacks on Western targets following a deadly bombing near the Australian Embassy. ","2) (AP) Sunday saw Indonesian law enforcement in hot pursuit of two top Southeast Asian terror suspects. Alongside this, they cautioned about the increasing threat of more suicide bombings aimed at Western interests, subsequent to a fatal blast that took place near the Australian Embassy."
Iran rejects call to stop atomic research Iran has rejected a UN resolution calling on the country to freeze uranium enrichment activities. It has also threatened to stop snap checks of its atomic facilities if Iran #39;s case is referred to the UN Security Council.,Irán rechaza la llamada para detener la investigación atómica. Irán ha rechazado una resolución de la ONU que pide al país congelar las actividades de enriquecimiento de uranio. También ha amenazado con detener las inspecciones instantáneas de sus instalaciones atómicas si el caso de Irán es remitido al Consejo de Seguridad de la ONU.,"1. Iran has declined a United Nations resolution urging the nation to halt uranium enrichment activity, and have conveyed threats of ending abrupt inspections of its nuclear facilities if its case is forwarded to the UN Security Council.","2. Iran has turned down a request based on a UN resolution to cease uranium enrichment actions. If its case is elevated to the UN Security Council, it threatened to terminate impromptu examinations of its nuclear installations."
"Hernndez #39;s Shoulder Worries Yanks he Yankees #39; game against the Minnesota Twins was rained out last night, but Orlando Hernndez, the Yankees #39; scheduled starter, would not have pitched anyway.","La preocupación de los Yankees por el hombro de Hernández. El partido de los Yankees contra los Minnesota Twins fue cancelado ayer debido a la lluvia, pero de todas formas, Orlando Hernández, el lanzador programado de los Yankees, no habría jugado.","1. Despite their game against the Minnesota Twins being cancelled due to rain last night, the Yankees would not have had Orlando Hernández as their scheduled starter due to concerns about his shoulder. ","2. Concerns over Orlando Hernández's shoulder meant he would not have pitched for Yankees in the game against Minnesota Twins last night, which was ultimately called off due to rain."
"US economic indicators fall; new jobless claims rise A gauge of future business activity fell in August, indicating company managers and US consumers remain uncertain about the economy.","Los indicadores económicos de EE.UU. caen; las nuevas solicitudes de desempleo aumentan. Un indicador de la actividad empresarial futura cayó en agosto, lo que indica que los gerentes de empresas y los consumidores de EE.UU. siguen sin tener certeza sobre la economía.","1. In August, a measure of future business activity saw a decline, suggesting persistent uncertainty about the economy among company managers and US consumers, alongside an increase in new unemployment claims. ","2. New unemployment claims are increasing as a key measure of future business activity in the US saw a drop in August, revealing continued economic insecurity amongst US consumers and business managers."
"Retailer Gets Out the Green Votes Patagonia, a seller of outdoor equipment, says it wouldn't have a business if the wilderness were paved over. So the company launches a voter-education initiative on its website to support environment-friendly candidates. By Louise Witt.","El Minorista Obtiene los Votos Verdes Patagonia, un vendedor de equipo para actividades al aire libre, dice que no tendría un negocio si la naturaleza estuviera cubierta de asfalto. Por lo tanto, la empresa lanza una iniciativa de educación para votantes en su sitio web para apoyar a los candidatos amigables con el medio ambiente. Por Louise Witt.","1. Outdoor equipment provider, Patagonia, is conscious that its business would cease to exist if wilderness lands were encroached upon. To protect nature's spaces, the company has unveiled a voter-education appeal on its website, advocating for politicians with a pro-environment stance. Article by Louise Witt.","2. Fearing the obscuration of wilderness, which would mean an end of its retail business, Patagonia, an outdoor equipment merchant, has put forth a voter-education program on their website. The aim is to rally support for environmentally conscious politicians. This piece was penned by Louise Witt."
Whooping Cranes' Migration Interrupted (AP) AP - Wildlife researchers leading a flock of young whooping cranes south for the winter are warning people to stay out of their way after an apparently curious ultralight pilot disturbed the endangered birds.,"Interrupción en la Migración de las Grullas Trompeteras (AP) AP - Investigadores de vida silvestre que guían a un grupo de jóvenes grullas trompeteras hacia el sur para el invierno, advierten a la gente que se mantenga alejada después de que un piloto de ultraligero aparentemente curioso perturbó a las aves en peligro de extinción.",1. (AP) Wildlife researchers guiding a flock of young whooping cranes to their winter habitat are urging people to avoid interference following a recent incident involving an inquisitive ultralight pilot disturbing the endangered birds. ,   
Gerrard strikes mighty blow Steven Gerrard #39;s glorious strike against Olympiakos on Wednesday night was so good that Sven-Goran Eriksson watched countless reruns of it in his Soho Square office yesterday.,El poderoso golpe de Gerrard. El magnífico golpe de Steven Gerrard contra el Olympiakos el miércoles por la noche fue tan impresionante que Sven-Goran Eriksson vio innumerables repeticiones de este en su oficina de Soho Square ayer.,1. Steven Gerrard's impressive strike against Olympiakos on Wednesday night was so outstanding that Sven-Goran Eriksson replayed it numerous times in his Soho Square office yesterday.,2. The superb hit against Olympiakos on Wednesday night by Steven Gerrard was so powerful that it had Sven-Goran Eriksson viewing its many replays in his Soho Square office the next day.
Dollar Near Recent Lows on Data Jitters  LONDON (Reuters) - The dollar hovered around recent  one-week lows against the euro and Swiss franc on Thursday as  investors grew cautious Friday's U.S. jobs data might add to  recent weak U.S. data and cloud the interest rate outlook.,"El Dólar Cerca de Mínimos Recientes por Inquietudes sobre los Datos LONDRES (Reuters) - El dólar fluctuaba alrededor de los mínimos de una semana recientes frente al euro y el franco suizo el jueves, ya que los inversores se mostraban cautelosos ante la posibilidad de que los datos de empleo de EE.UU. del viernes pudieran sumarse a los recientes datos débiles de EE.UU. y oscurecer las perspectivas de las tasas de interés.","LONDON (Reuters) - Lingering concerns regarding the U.S. jobs data set to be released on Friday caused the dollar to remain close to its recent one-week lows against the euro and Swiss franc on Thursday. This anticipation intensified following recent weak U.S. data, casting a shadow over the future of interest rates.","LONDON (Reuters) - The dollar danced around its recent trough levels against the euro and Swiss franc on Thursday due to rising skepticism regarding Friday's forthcoming U.S. jobs data. Recent weak U.S. statistics have already unnerved investors, prompting concerns on the course of interest rates."
"US embassy in Malaysia shuts indefinitely amid security threat (AFP) AFP - The US embassy in Malaysia was shut indefinitely after it received a letter containing a suspicious powdery substance, its second security scare in two weeks.","Embajada de EE.UU. en Malasia cierra indefinidamente ante amenaza de seguridad (AFP) AFP - La embajada de EE.UU. en Malasia cerró indefinidamente después de recibir una carta que contenía una sustancia en polvo sospechosa, su segundo susto de seguridad en dos semanas.","1. Following the receipt of a letter containing a suspicious powdery substance, the US embassy in Malaysia has been indefinitely closed; a second security alert in a two-week span (AFP). ","2. The US embassy in Malaysia has indefinitely suspended operations due to a security threat involving a letter with a suspicious powdery substance, marking its second security concern within two weeks (AFP)."
"Telecoms sell-off price reduced Hutchison Whampoa, under pressure to offset losses on 3G mobile costs, cuts the price for the sale of its emerging markets arm.","Hutchison Whampoa reduce el precio de venta de su división en mercados emergentes, bajo presión para compensar las pérdidas en los costos de móviles 3G.","1. Facing pressure to counterbalance losses on 3G mobile expenses, Hutchison Whampoa lowers the selling price for its emerging markets division, an unexpected move in the telecom sell-off.","2. Hutchison Whampoa, in a need to balance the losses incurred from 3G mobile costs, slashes the selling price of its upcoming markets branch in the telecom divestment process."
